order_id,order_date,customer_id,customer_name,email,customer_segment,region,state,city,signup_date,product_id,category,product_name,quantity,unit_price,discount_pct,sales_amount,cost_amount,profit_amount,payment_method,sales_channel,order_status
ORD-000051,2023-01-01,CUST-02354,Sarah Davis,ccalderon@example.org,Consumer,Midwest,Illinois,Kellieview,2020-01-25,PROD-002,Electronics,Smartphone,4,657.89,0.0,2631.56,1680.09,951.47,PayPal,Online,Completed
ORD-000102,2023-01-01,CUST-01710,David Johnson,rose31@example.net,Consumer,Midwest,Ohio,Blankenshipport,2022-12-02,PROD-007,Clothing,Men's T-Shirt,1,23.9,0.0,23.9,16.88,7.02,Debit Card,Online,Completed
ORD-000231,2023-01-01,CUST-01989,Tamara Hall,enelson@example.net,Consumer,West,Oregon,Rachelshire,2022-10-01,PROD-001,Electronics,Laptop,1,903.6,0.0,903.6,538.19,365.41,Credit Card,Store,Completed
ORD-000329,2023-01-01,CUST-00536,Amber Kim,acosta@example.com,Consumer,Midwest,Ohio,Bellfurt,2021-10-24,PROD-007,Clothing,Men's T-Shirt,1,25.39,0.0,25.39,16.02,9.37,Debit Card,Store,Completed
ORD-000390,2023-01-01,CUST-00714,Ashley Malone,aaronkelly@example.net,Consumer,West,Nevada,Amystad,2020-04-02,PROD-009,Clothing,Running Shoes,1,89.2,0.0,89.2,44.96,44.24,Debit Card,Store,Completed
ORD-000436,2023-01-01,CUST-01471,Laura Bennett,pdiaz@example.org,Consumer,Northeast,New Jersey,Nicholasbury,2021-03-25,PROD-002,Electronics,Smartphone,1,684.34,0.0,684.34,415.27,269.07,Debit Card,Online,Completed
ORD-001355,2023-01-01,CUST-01452,Frances Russell,thomas49@example.org,Consumer,Midwest,Illinois,West Bradley,2021-05-30,PROD-010,Beauty,Skin Care Set,1,49.33,0.05,46.86,27.8,19.06,Credit Card,Online,Completed
ORD-001840,2023-01-01,CUST-01720,Ryan Cox,brandy77@example.com,Consumer,South,Texas,West Kevin,2022-01-12,PROD-008,Clothing,Women's Jeans,2,62.67,0.0,125.34,70.04,55.3,Credit Card,Online,Completed
ORD-001997,2023-01-01,CUST-00357,Amy Forbes,castroangelica@example.org,Corporate,Northeast,New Jersey,Thomasberg,2022-06-01,PROD-002,Electronics,Smartphone,1,705.99,0.0,705.99,453.46,252.53,PayPal,Store,Completed
ORD-003819,2023-01-01,CUST-02415,Kelly Holder,adam33@example.com,Corporate,Midwest,Michigan,Port Lynnview,2021-09-01,PROD-007,Clothing,Men's T-Shirt,1,22.91,0.1,20.62,14.13,6.49,Credit Card,Online,Completed
ORD-004982,2023-01-01,CUST-02427,Erin Gomez,keith09@example.net,Corporate,Northeast,Massachusetts,Jessicashire,2021-12-29,PROD-002,Electronics,Smartphone,2,706.73,0.1,1272.11,911.97,360.14,PayPal,Online,Completed
ORD-006365,2023-01-01,CUST-00276,Christopher Reyes,vwatson@example.net,Consumer,Northeast,New York,West Tonyfurt,2022-08-31,PROD-010,Beauty,Skin Care Set,1,48.45,0.0,48.45,25.01,23.44,Credit Card,Online,Completed
ORD-006404,2023-01-01,CUST-01704,Jacqueline Chen,colepamela@example.net,Corporate,West,Washington,Brendaport,2021-10-18,PROD-005,Home & Kitchen,Air Fryer,1,110.1,0.1,99.09,73.54,25.55,Credit Card,Online,Completed
ORD-006507,2023-01-01,CUST-01838,Richard Stevenson,stevenvargas@example.com,Corporate,South,Texas,Lake Rachel,2022-01-05,PROD-011,Beauty,Electric Toothbrush,1,71.06,0.0,71.06,40.19,30.87,Debit Card,Store,Completed
ORD-007687,2023-01-01,CUST-01206,Nicole Pham,kathleenbecker@example.net,Consumer,South,Florida,New Seanstad,2021-12-01,PROD-005,Home & Kitchen,Air Fryer,2,120.29,0.05,228.55,146.06,82.49,Debit Card,Online,Completed
ORD-007984,2023-01-01,CUST-00420,Cheryl Rogers,mramirez@example.com,Consumer,West,Oregon,Port Chloe,2022-01-28,PROD-012,Sports & Outdoors,Yoga Mat,2,29.49,0.0,58.98,30.13,28.85,Debit Card,Store,Completed
ORD-008093,2023-01-01,CUST-01247,Jerry Bright,jeremymitchell@example.com,Consumer,Midwest,Ohio,East Julia,2020-02-26,PROD-002,Electronics,Smartphone,1,699.13,0.05,664.17,491.52,172.65,Credit Card,Online,Completed
ORD-008824,2023-01-01,CUST-01102,Maria Bryant,joseph01@example.org,Home Office,South,Florida,Port Kellymouth,2022-11-09,PROD-008,Clothing,Women's Jeans,2,57.09,0.1,102.76,55.22,47.54,Credit Card,Online,Completed
ORD-009547,2023-01-01,CUST-01688,Tamara Wilson,fsnyder@example.org,Corporate,Midwest,Michigan,Jessicaville,2022-01-17,PROD-007,Clothing,Men's T-Shirt,2,24.27,0.05,46.11,27.35,18.76,Credit Card,Online,Completed
ORD-000323,2023-01-02,CUST-01801,April Hardin,lindsaypeterson@example.org,Consumer,West,Nevada,Brianberg,2021-07-06,PROD-002,Electronics,Smartphone,1,679.43,0.05,645.46,363.48,281.98,Credit Card,Store,Completed
ORD-000885,2023-01-02,CUST-01191,Stephen Jones,ukey@example.com,Home Office,Northeast,Massachusetts,Hammondshire,2020-06-23,PROD-002,Electronics,Smartphone,1,654.53,0.0,654.53,385.25,269.28,Credit Card,Store,Completed
ORD-001909,2023-01-02,CUST-01031,Melinda Patterson,georgealyssa@example.com,Home Office,West,California,Lindsayberg,2021-03-03,PROD-009,Clothing,Running Shoes,1,83.12,0.05,78.96,52.01,26.95,Credit Card,Online,Completed
ORD-003554,2023-01-02,CUST-00631,Brandon Ramsey,lisa80@example.net,Consumer,South,Georgia,West Nicoleton,2021-08-08,PROD-005,Home & Kitchen,Air Fryer,1,116.62,0.05,110.79,56.7,54.09,PayPal,Online,Completed
ORD-004836,2023-01-02,CUST-00712,Cindy Carlson,mcmillaneric@example.org,Consumer,South,North Carolina,Diaztown,2021-07-16,PROD-009,Clothing,Running Shoes,3,84.66,0.05,241.28,181.09,60.19,Credit Card,Store,Completed
ORD-005051,2023-01-02,CUST-00835,Phillip Wong,pauladominguez@example.com,Consumer,Northeast,New York,Stevenland,2020-12-12,PROD-002,Electronics,Smartphone,3,651.88,0.1,1760.08,1148.32,611.76,Credit Card,Online,Completed
ORD-005311,2023-01-02,CUST-00105,Alexa Chambers,lori15@example.com,Corporate,Midwest,Illinois,Davidfurt,2020-05-16,PROD-004,Home & Kitchen,Coffee Maker,1,86.62,0.15,73.63,55.92,17.71,Debit Card,Online,Completed
ORD-005588,2023-01-02,CUST-00093,Carol Lane,brian41@example.org,Consumer,Northeast,Massachusetts,South Raymond,2022-04-11,PROD-002,Electronics,Smartphone,2,685.76,0.0,1371.52,959.36,412.16,PayPal,Store,Completed
ORD-005833,2023-01-02,CUST-00411,Angela Watts,hamiltonsarah@example.net,Corporate,South,Texas,Jamesside,2022-02-11,PROD-003,Electronics,Wireless Headphones,3,130.97,0.1,353.62,197.88,155.74,Debit Card,Online,Completed
ORD-006132,2023-01-02,CUST-00278,John Lewis,douglas63@example.com,Consumer,West,California,Port William,2020-05-25,PROD-007,Clothing,Men's T-Shirt,3,24.61,0.15,62.76,43.32,19.44,Credit Card,Store,Completed
ORD-007839,2023-01-02,CUST-02274,James Jefferson,zbanks@example.org,Corporate,West,Washington,East Heatherton,2021-03-03,PROD-008,Clothing,Women's Jeans,1,56.15,0.05,53.34,34.24,19.1,Credit Card,Online,Completed
ORD-008514,2023-01-02,CUST-00505,Cindy Campbell,qcole@example.org,Corporate,South,North Carolina,Lake Alan,2020-10-18,PROD-012,Sports & Outdoors,Yoga Mat,3,31.28,0.0,93.84,49.74,44.1,Credit Card,Online,Completed
ORD-009005,2023-01-02,CUST-00990,Leah Lam,lewislori@example.com,Consumer,South,North Carolina,Lake Danielchester,2021-02-22,PROD-001,Electronics,Laptop,1,897.71,0.15,763.05,464.45,298.6,Credit Card,Store,Completed
ORD-000426,2023-01-03,CUST-01109,Corey Tucker,christina49@example.org,Consumer,Midwest,Illinois,Lindseychester,2021-09-23,PROD-009,Clothing,Running Shoes,1,81.06,0.0,81.06,55.38,25.68,PayPal,Online,Completed
ORD-000484,2023-01-03,CUST-01944,Matthew Dalton,michelle78@example.com,Consumer,Northeast,Massachusetts,Taylorside,2022-07-20,PROD-002,Electronics,Smartphone,1,651.14,0.0,651.14,362.79,288.35,Debit Card,Store,Completed
ORD-000652,2023-01-03,CUST-01478,David Jensen,vwilliams@example.org,Corporate,West,Oregon,East Kristen,2020-05-21,PROD-010,Beauty,Skin Care Set,4,46.21,0.0,184.84,126.98,57.86,Debit Card,Online,Completed
ORD-000862,2023-01-03,CUST-01043,Tonya Peters,smithsteven@example.net,Consumer,Midwest,Illinois,Deniseburgh,2020-05-26,PROD-008,Clothing,Women's Jeans,1,61.91,0.05,58.81,42.25,16.56,Credit Card,Online,Completed
ORD-001395,2023-01-03,CUST-00411,Angela Watts,hamiltonsarah@example.net,Corporate,South,Texas,Jamesside,2022-02-11,PROD-009,Clothing,Running Shoes,2,85.57,0.1,154.03,115.72,38.31,Gift Card,Online,Completed
ORD-001437,2023-01-03,CUST-02271,Kara Sharp,briansnyder@example.com,Consumer,Northeast,New York,Joyberg,2022-08-06,PROD-002,Electronics,Smartphone,1,713.74,0.1,642.37,478.52,163.85,PayPal,Online,Completed
ORD-001441,2023-01-03,CUST-01495,Cynthia Murray,vrobertson@example.net,Consumer,South,Georgia,North Ronaldland,2020-04-15,PROD-002,Electronics,Smartphone,1,692.19,0.1,622.97,433.3,189.67,Gift Card,Online,Completed
ORD-003016,2023-01-03,CUST-00115,Douglas Blanchard,cgarcia@example.net,Corporate,West,California,Port David,2021-03-26,PROD-007,Clothing,Men's T-Shirt,1,24.38,0.05,23.16,14.05,9.11,Debit Card,Online,Completed
ORD-003220,2023-01-03,CUST-01139,Michael Reeves,douglasbradley@example.com,Corporate,West,California,Lake Daniellestad,2022-04-27,PROD-003,Electronics,Wireless Headphones,1,130.18,0.2,104.14,90.36,13.78,Debit Card,Store,Completed
ORD-003748,2023-01-03,CUST-00903,Tammy Cortez,frankespinoza@example.com,Corporate,South,Georgia,West Robertberg,2020-01-12,PROD-010,Beauty,Skin Care Set,1,50.8,0.05,48.26,33.33,14.93,PayPal,Online,Completed
ORD-004219,2023-01-03,CUST-00373,Frances Wilson,amy68@example.net,Consumer,Northeast,Massachusetts,Robinsonstad,2021-07-26,PROD-012,Sports & Outdoors,Yoga Mat,2,30.42,0.0,60.84,40.73,20.11,Credit Card,Online,Completed
ORD-006564,2023-01-03,CUST-01805,Nicole Marshall,mackelizabeth@example.org,Corporate,Northeast,New Jersey,Lake Ralph,2021-07-23,PROD-011,Beauty,Electric Toothbrush,2,71.82,0.15,122.09,97.1,24.99,PayPal,Store,Completed
